protocol,second,count
TLSv1.3,884,2
TLSv1.3,885,4
TCP,885,18
ICMPv6,885,2
UDP,886,2
ICMPv6,889,2
TLSv1.2,890,2
TCP,890,3
QUIC,890,42
UDP,891,4
TLSv1.2,891,2
TCP,891,4
TLSv1.2,892,2
TCP,892,3
ICMPv6,892,2
TLSv1.3,893,3
TCP,893,6
TLSv1.2,893,2
TCP,894,11
TLSv1.3,894,4
TCP,895,47
TLSv1.3,895,8
UDP,895,2
ICMPv6,895,2
UDP,900,2
ARP,901,2
TLSv1.2,903,2
TCP,903,3
TLSv1.2,904,2
TCP,904,3
TLSv1.2,905,2
TCP,905,3
UDP,906,2
TLSv1.2,906,2
TCP,906,2
TCP,907,1
UDP,907,2
ICMPv6,907,2
TLSv1.2,909,2
TCP,909,2
TCP,910,3
TLSv1.3,910,3
ICMPv6,911,4
TCP,911,1
ARP,911,1
TCP,913,16
TLSv1.2,913,7
TCP,914,58
TLSv1.2,914,12
TLSv1.3,915,3
TCP,915,3
TCP,916,1
TCP,917,1
TCP,918,1
TCP,919,1
TCP,920,1
QUIC,920,2
ICMPv6,920,4
QUIC,921,2
ICMPv6,921,3
TCP,921,1
UDP,922,2
QUIC,922,1
ICMPv6,922,2
TCP,923,1
QUIC,924,1
ICMPv6,924,2
TLSv1.3,925,3
TCP,925,3
UDP,926,2
QUIC,927,1
ICMPv6,927,2
ICMPv6,930,2
ICMPv6,933,4
QUIC,935,2
ICMPv6,935,2
ICMPv6,937,1
ARP,937,2
ARP,939,1
UDP,942,2
TLSv1.2,944,2
TCP,944,3
DNS,946,7
TCP,946,47
UDP,946,2
TLSv1.3,946,8
TCP,947,1
UDP,949,1
QUIC,949,1
ICMPv6,949,2
ICMPv6,952,2
ICMPv6,954,4
ICMPv6,955,2
UDP,962,2
UDP,966,2
ARP,967,1
DNS,967,4
TCP,967,6
TLSv1.3,967,3
TLSv1.3,968,2
TCP,968,7
ARP,974,2
ICMPv6,974,2
ICMPv6,978,2
ICMPv6,980,2
UDP,982,2
UDP,986,2
ARP,995,1
ICMPv6,997,3
ICMPv6,1000,2
ICMPv6,1002,2
UDP,1002,1
UDP,1003,1
UDP,1006,2
TCP,1007,1
TCP,1008,1
TCP,1009,1
TCP,1010,1
ARP,1010,2
TCP,1011,1
TCP,1012,1
TCP,1014,1
UDP,1014,1
ICMPv6,1019,3
ICMPv6,1020,1
ICMPv6,1023,2
UDP,1023,2
ARP,1024,1
ICMPv6,1024,2
UDP,1026,2
ARP,1037,2
ICMPv6,1042,2
UDP,1043,2
ICMPv6,1045,2
UDP,1046,2
ICMPv6,1047,2
ARP,1052,1
ICMPv6,1057,1
UDP,1063,2
ICMPv6,1064,2
ARP,1064,1
UDP,1066,2
ICMPv6,1067,2
ICMPv6,1068,2
TCP,1069,1
TCP,1070,1
TCP,1071,1
TCP,1072,1
TCP,1073,1
TCP,1074,1
TCP,1076,1
UDP,1079,1
ARP,1080,1
UDP,1083,2
ICMPv6,1084,2
UDP,1086,2
ICMPv6,1087,2
TLSv1.3,1088,2
TCP,1088,4
ICMPv6,1090,2
ICMPv6,1091,2
ARP,1091,1
DNS,1098,9
QUIC,1098,20
UDP,1103,2
UDP,1106,2
ARP,1108,1
ICMPv6,1109,2
DNS,1109,2
TCP,1109,5
TLSv1.3,1109,1
TLSv1.3,1110,3
TCP,1110,7
ICMPv6,1111,2
TCP,1112,12
TLSv1.3,1112,7
ICMPv6,1112,2
TLSv1.3,1113,4
TCP,1113,4
TLSv1.3,1114,4
TCP,1114,4
TLSv1.3,1115,4
TCP,1115,4
TLSv1.3,1116,9
TCP,1116,22
DNS,1116,3
TLSv1.3,1117,4
TCP,1117,4
ICMPv6,1117,1
TLSv1.3,1118,4
TCP,1118,4
ARP,1118,1
TLSv1.3,1119,3
TCP,1119,3
TLSv1.3,1120,4
TCP,1120,4
TLSv1.3,1121,3
TCP,1121,3
TLSv1.3,1122,4
TCP,1122,4
TLSv1.3,1123,3
